iter	RMSE
0	0.858025145
1	0.8516714366
2	0.8453953095
3	0.8391493299
4	0.8330923636
5	0.8270552256
6	0.8210210388
7	0.8151334611
8	0.809286606
9	0.8035460601
10	0.7977929728
11	0.792151668
12	0.7865904951
13	0.7811146381
14	0.7756915377
15	0.7703279587
16	0.7650071672
17	0.7597886539
18	0.7546383826
19	0.7495080899
20	0.7445018579
21	0.7395218507
22	0.7345907326
23	0.7297409319
24	0.7249573305
25	0.7202249747
26	0.7155638734
27	0.7109557453
28	0.7064120294
29	0.7019243628
30	0.6974935915
31	0.6931735475
32	0.6888643877
33	0.6846452745
34	0.6804649693
35	0.6763508561
36	0.672239971
37	0.6682100869
38	0.6642575595
39	0.6603774356
40	0.6564852719
41	0.6526666328
42	0.6488912743
43	0.6452177582
44	0.6415454214
45	0.6379656629
46	0.6343933173
47	0.6308941192
48	0.6274137405
49	0.62398451
50	0.6206068525
51	0.6172775162
52	0.6139966252
53	0.6107688619
54	0.6075884077
55	0.6044509185
56	0.6013674764
57	0.598284725
58	0.5952625692
59	0.5923080679
60	0.5893932144
61	0.5865101735
62	0.5836700068
63	0.5808708718
64	0.5780964008
65	0.5753648321
66	0.5726980095
67	0.5700347837
68	0.5674278711
69	0.5648868929
70	0.5623404527
71	0.5598302239
72	0.5573634603
73	0.5549375997
74	0.5525398264
75	0.550198704
76	0.5478903107
77	0.5456254008
78	0.5433889281
79	0.5411831401
80	0.5389995169
81	0.536859419
82	0.5347582228
83	0.5326725379
84	0.5306432374
85	0.5286505176
86	0.5266516853
87	0.5246940671
88	0.5227637555
89	0.5208817082
90	0.5190244215
91	0.5171976479
92	0.5154098411
93	0.5136435362
94	0.5118861205
95	0.5101768888
96	0.5084695575
97	0.5067987261
98	0.5051384045
99	0.5035088764
100	0.5019234206
101	0.5003399509
102	0.4987907135
103	0.4972724285
104	0.4957716383
105	0.4943045016
106	0.4928651654
107	0.4914344569
108	0.4900171427
109	0.4886355482
110	0.4872666161
111	0.4859344568
112	0.4846308792
113	0.4833393389
114	0.4820587138
115	0.4807962435
116	0.4795905936
117	0.4783761608
118	0.4771915743
119	0.4760251902
120	0.4748700801
121	0.4737481876
122	0.4726287523
123	0.4715297833
124	0.4704435878
125	0.4693664517
126	0.4683132615
