iter	Passed	Remaining
0	12	14973
1	22	13374
2	32	13064
3	42	12658
4	52	12561
5	62	12497
6	73	12442
7	83	12370
8	92	12227
9	102	12215
10	112	12148
11	122	12079
12	132	12060
13	141	12029
14	151	12007
15	162	12003
16	172	11999
17	182	11971
18	192	11937
19	201	11910
20	211	11895
21	221	11879
22	231	11844
23	241	11811
24	251	11813
25	260	11756
26	270	11757
27	280	11729
28	289	11683
29	299	11669
30	308	11641
31	318	11631
32	328	11632
33	338	11596
34	348	11583
35	357	11574
36	367	11557
37	377	11545
38	387	11543
39	397	11533
40	407	11523
41	417	11524
42	427	11494
43	437	11492
44	446	11470
45	456	11449
46	466	11435
47	475	11422
48	486	11426
49	496	11413
50	505	11398
51	515	11378
52	525	11364
53	535	11358
54	543	11322
55	553	11310
56	562	11288
57	572	11267
58	582	11259
59	592	11255
60	602	11255
61	612	11237
62	622	11227
63	631	11209
64	640	11187
65	650	11177
66	659	11159
67	669	11142
68	679	11139
69	688	11111
70	698	11100
71	707	11081
72	716	11068
73	726	11059
74	736	11049
75	746	11045
76	755	11020
77	765	11008
78	775	11001
79	784	10989
80	794	10971
81	803	10959
82	813	10954
83	823	10945
84	833	10939
85	843	10919
86	852	10906
87	862	10896
88	871	10876
89	881	10874
90	890	10857
91	900	10844
92	909	10831
93	920	10827
94	929	10814
95	939	10808
96	949	10801
97	959	10793
98	968	10776
99	978	10763
100	987	10749
101	997	10732
102	1006	10722
103	1016	10713
104	1026	10701
105	1035	10688
106	1045	10682
107	1055	10675
108	1065	10666
109	1075	10652
110	1083	10633
111	1093	10620
112	1103	10613
113	1112	10601
114	1122	10593
115	1132	10582
116	1142	10577
117	1152	10567
118	1162	10556
119	1171	10542
120	1180	10530
121	1190	10519
122	1199	10503
123	1210	10500
124	1220	10493
125	1229	10480
126	1238	10465
127	1247	10450
128	1257	10442
129	1266	10427
130	1276	10418
131	1286	10408
132	1296	10402
133	1306	10390
134	1316	10382
135	1326	10374
136	1335	10362
137	1345	10353
138	1354	10338
139	1364	10332
140	1374	10322
141	1384	10316
142	1394	10308
143	1403	10293
144	1412	10279
145	1421	10264
146	1431	10256
147	1442	10253
148	1451	10237
149	1461	10229
150	1470	10218
151	1480	10209
152	1490	10203
